Company_Name,brand_name,generic_name,MRP,Previous_Product_MRP,Difference_From_Previous
His Eyeness,Awerene PF,Travoprost,637.5,645.9,-8.4
His Eyeness,Alphabet PF,Timolol + Brimonidine,553.1,637.5,-84.4
Indoco Remedies,Brimochek,Brimonidine,257.81,,
Intas Pharmaceuticals,Lashisma,Bimatoprost,750,,
IntasPharmaceuticle,Dortas-T,Dorzolamide+ Timolol,567.19,,
IntasPharmaceuticle,Intraprost (Eye),Bimatoprost,440.63,567.19,-126.56
IntasPharmaceuticle,Timolong,Timolol,71.56,440.63,-369.07
Ipca Pharma,Azopt,Brinzolamide,675.13,,
Ipca Pharma,Azarga,Brinzolamide + Timolol,521.56,675.13,-153.57
Ipca Pharma,Netasudil,Netarsudil,375,521.56,-146.56
Irx Pharmaceuticals,Dorzorx-T,Dorzolmide+Timolol,567,,
Irx Pharmaceuticals,Brimorx,Brimonidine,206.2,567,-360.8
Jaqson Helathcare,Timotic,Timolol,46.59,,
Jawa Pharmac,Dortim,Dorzolamide+ Timolol,517.3,,
Jawa Pharmac,Bexol Eye,Betaxolol,39.38,517.3,-477.92
Lupin,Lupitros Z,Travoprost,455.4,,
Lupin,Timoblu,Timolol,44.49,455.4,-410.91
Microlabs Ltd.,Betafree,Brimonidine+ Brinzolamide,543.7,,
Microlabs Ltd.,Trisopt,Brinzolamide+ Brimonidine+ Timolol,538,543.7,-5.7
Microlabs Ltd.,Misopt,Dorzolamide+ Timolol,527.8,538,-10.2
Microlabs Ltd.,Betafree LS,Brimonidine+ Brinzolamide,490,527.8,-37.8
Microlabs Ltd.,Travo Z,Travoprost,464,490,-26.0
Microlabs Ltd.,Monosopt,Dorzolamide,450,464,-14.0
Microlabs Ltd.,Laprost,Latanoprst,348,450,-102.0
Microlabs Ltd.,Bimaday LS,Bimatoprost,223.1,348,-124.9
Microlabs Ltd.,Rimonid,Brimonidine,150,223.1,-73.1
Microlabs Ltd.,Lopres,Timolol,71.55,150,-78.45
Microlabs Ltd.,Acetamide,Acetazolamide,42.63,71.55,-28.92
Neiss Laboratories,Brimonist,Brimonidine,140,,
Neomedix healthcare,Travstar PF,Travoprost,755,,
Neomedix healthcare,Brinmide-B,Brinzolamide+ Brimonidine,480,755,-275.0
Neomedix healthcare,Dorfort-T,Dorzolmide+Timolol,421.8,480,-58.2
Pfizer,Xalacom,Latanoprost + Timolol,675,,
Protech remedies,Travipress PF,Travoprost,187.5,,
Santeen Pharmaceuticles,Cosopt PF,Dorzolamide + Timolol,650,,
Santeen Pharmaceuticles,Saflutan,Tafluprost,531.56,650,-118.44
Santeen Pharmaceuticles,Cosopt,Dorzolamide + Timolol,459.38,531.56,-72.18
Santeen Pharmaceuticles,Trusopt,Dorzolamide,412.5,459.38,-46.88
Sapient Pharmaceuticles,Glustop,Dorzolmide+Timolol,309.3,,
Sun Pharmaceutical,Latoprost RT,Latanoprost,621.11,,
Sun Pharmaceutical,Careprost (Eye),Bimatoprost,594.38,621.11,-26.73
Sun Pharmaceutical,Synca,Brinzolamide+ Brimonidine,585.94,594.38,-8.44
Sun Pharmaceutical,Raiki,Netarsudil,556.88,585.94,-29.06
Sun Pharmaceutical,Brinolar BKC Free,Brinzolamide,514.69,556.88,-42.19
Sun Pharmaceutical,Synca LS,Brinzolamide+ Brimonidine,466.58,514.69,-48.11
Sun Pharmaceutical,Brimosun LS,Brimonidine,307.5,466.58,-159.08
Sun Pharmaceutical,Timolet,Timolol,71.51,307.5,-235.99
Sun Pharmaceutical,Diamox Tablet,Acetazolamide,64.88,71.51,-6.63
Sun ways India,Travosun,Travoprost,218.4,,
Sun ways India,Dorsun,Dorzolamide+ Timolol,208.1,218.4,-10.3
Sun ways India,Carpinol,Pilocarpine,26,208.1,-182.1
Zeelab Pharmacy,Brimoz T,Brimonidine + Timolol,115,,
Zydus Pharma,Ocupres,Betaxolol,28.13,,
viatris,Xalatan,Latanoprost,596.53,,
